Source,Target,Type,Weight
249,232,Directed,1.2
249,270,Directed,1.2
249,9,Directed,1.2
249,348,Directed,1.2
251,223,Directed,1.2
252,38,Directed,1.2
252,495,Directed,1.2
253,249,Directed,1.2
253,105,Directed,1.2
253,201,Directed,1.2
253,104,Directed,1.2
253,244,Directed,1.2
254,418,Directed,1.2
259,340,Directed,1.2
263,413,Directed,1.2
264,6,Directed,1.2
264,3,Directed,1.2
268,150,Directed,1.2
270,419,Directed,1.2
270,31,Directed,1.2
270,186,Directed,1.2
270,1,Directed,1.2
270,63,Directed,1.2
271,190,Directed,1.2
272,371,Directed,1.2
277,272,Directed,1.2
277,454,Directed,1.2
278,285,Directed,1.2
278,370,Directed,1.2
278,258,Directed,1.2
278,481,Directed,1.2
278,14,Directed,1.2
282,23,Directed,1.2
282,479,Directed,1.2
282,213,Directed,1.2
282,50,Directed,1.2
282,384,Directed,1.2
290,66,Directed,1.2
294,278,Directed,1.2
294,400,Directed,1.2
294,226,Directed,1.2
294,290,Directed,1.2
294,53,Directed,1.2
295,489,Directed,1.2
295,308,Directed,1.2
295,82,Directed,1.2
295,477,Directed,1.2
295,217,Directed,1.2
296,474,Directed,1.2
296,196,Directed,1.2
297,312,Directed,1.2
297,8,Directed,1.2
297,499,Directed,1.2
300,331,Directed,1.2
300,475,Directed,1.2
300,486,Directed,1.2
301,441,Directed,1.2
304,78,Directed,1.2
304,184,Directed,1.2
305,108,Directed,1.2
308,337,Directed,1.2
308,97,Directed,1.2
308,366,Directed,1.2
308,318,Directed,1.2
308,73,Directed,1.2
310,161,Directed,1.2
310,230,Directed,1.2
310,110,Directed,1.2
310,497,Directed,1.2
310,250,Directed,1.2
320,216,Directed,1.2
320,35,Directed,1.2
326,292,Directed,1.2
326,162,Directed,1.2
336,365,Directed,1.2
337,491,Directed,1.2
337,208,Directed,1.2
338,464,Directed,1.2
338,61,Directed,1.2
338,179,Directed,1.2
338,176,Directed,1.2
338,126,Directed,1.2
339,165,Directed,1.2
339,443,Directed,1.2
339,153,Directed,1.2
339,4,Directed,1.2
339,11,Directed,1.2
340,115,Directed,1.2
341,355,Directed,1.2
341,423,Directed,1.2
342,363,Directed,1.2
342,178,Directed,1.2
343,238,Directed,1.2
343,265,Directed,1.2
347,120,Directed,1.2
347,233,Directed,1.2
347,200,Directed,1.2
354,487,Directed,1.2
355,429,Directed,1.2
355,328,Directed,1.2
355,456,Directed,1.2
355,488,Directed,1.2
355,65,Directed,1.2
358,13,Directed,1.2
358,446,Directed,1.2
359,264,Directed,1.2
359,187,Directed,1.2
362,279,Directed,1.2
368,195,Directed,1.2
369,101,Directed,1.2
369,262,Directed,1.2
370,416,Directed,1.2
373,119,Directed,1.2
373,7,Directed,1.2
373,204,Directed,1.2
373,46,Directed,1.2
374,247,Directed,1.2
374,364,Directed,1.2
374,229,Directed,1.2
381,215,Directed,1.2
381,291,Directed,1.2
381,30,Directed,1.2
382,239,Directed,1.2
382,392,Directed,1.2
382,116,Directed,1.2
382,173,Directed,1.2
382,320,Directed,1.2
383,202,Directed,1.2
383,323,Directed,1.2
383,166,Directed,1.2
383,246,Directed,1.2
385,168,Directed,1.2
385,346,Directed,1.2
385,182,Directed,1.2
386,396,Directed,1.2
388,415,Directed,1.2
388,260,Directed,1.2
388,281,Directed,1.2
391,448,Directed,1.2
392,228,Directed,1.2
393,424,Directed,1.2
393,100,Directed,1.2
393,121,Directed,1.2
394,399,Directed,1.2
394,319,Directed,1.2
394,163,Directed,1.2
394,338,Directed,1.2
398,98,Directed,1.2
399,402,Directed,1.2
399,129,Directed,1.2
400,94,Directed,1.2
400,405,Directed,1.2
400,327,Directed,1.2
400,112,Directed,1.2
401,74,Directed,1.2
401,430,Directed,1.2
403,243,Directed,1.2
403,134,Directed,1.2
408,205,Directed,1.2
408,373,Directed,1.2
408,5,Directed,1.2
414,459,Directed,1.2
414,283,Directed,1.2
417,43,Directed,1.2
417,175,Directed,1.2
417,277,Directed,1.2
417,139,Directed,1.2
417,375,Directed,1.2
419,198,Directed,1.2
421,311,Directed,1.2
424,273,Directed,1.2
428,87,Directed,1.2
431,103,Directed,1.2
431,154,Directed,1.2
432,275,Directed,1.2
432,350,Directed,1.2
432,57,Directed,1.2
432,462,Directed,1.2
432,127,Directed,1.2
433,288,Directed,1.2
441,395,Directed,1.2
442,95,Directed,1.2
442,2,Directed,1.2
443,131,Directed,1.2
443,266,Directed,1.2
446,224,Directed,1.2
446,458,Directed,1.2
446,360,Directed,1.2
446,183,Directed,1.2
457,199,Directed,1.2
457,367,Directed,1.2
459,442,Directed,1.2
459,125,Directed,1.2
460,336,Directed,1.2
460,349,Directed,1.2
460,77,Directed,1.2
460,289,Directed,1.2
472,335,Directed,1.2
474,25,Directed,1.2
474,192,Directed,1.2
474,388,Directed,1.2
475,330,Directed,1.2
475,390,Directed,1.2
475,140,Directed,1.2
477,149,Directed,1.2
477,411,Directed,1.2
479,52,Directed,1.2
484,55,Directed,1.2
484,301,Directed,1.2
485,21,Directed,1.2
486,84,Directed,1.2
486,435,Directed,1.2
486,122,Directed,1.2
486,51,Directed,1.2
489,15,Directed,1.2
489,92,Directed,1.2
489,26,Directed,1.2
489,47,Directed,1.2
489,376,Directed,1.2
490,317,Directed,1.2
490,81,Directed,1.2
490,114,Directed,1.2
491,383,Directed,1.2
492,485,Directed,1.2
492,412,Directed,1.2
493,169,Directed,1.2
493,393,Directed,1.2
493,174,Directed,1.2
493,188,Directed,1.2
493,385,Directed,1.2
496,467,Directed,1.2
497,252,Directed,1.2
497,68,Directed,1.2
497,191,Directed,1.2
497,255,Directed,1.2
